;M?tpunkt;Starttid;Sluttid;Order;Ordernummer;Artikelnamn;Artikelnummer;Artikeltyp;Producerad m?ngd;Kasserad m?ngd;Godk?nd m?ngd;Omarbetad m?ngd;Varaktighet;Varaktighet in hours;Schemalagd tid;Schemalagd tid in hours;Drifttid;Drifttid in hours;St?lltid;St?lltid in hours;Total stopptid;Total stopptid in hours;Antal stopp;Medelcykeltid;Medelcykeltid in hours;Medelcykeltid inkl. stopptid;Medelcykeltid inkl. stopptid in hours;TAK;Tillg?nglighet;Anl?ggningsutbyte;Kvalitetsutbyte;Tillg?nglighetsf?rlust;Tempof?rlust;Kvalitetsf?rlust;Maxproduktion;M?lproduktion;Medelproduktion per timme;Medelproduktion per minut;Cluster labels
0;Open1;28.4.2017 12:38;28.4.2017 17:50;3128;3128;Lock Patronh. 110SL Gr?;237S906A-100;;407;16;391;0;05:11:53;5,2;05:11:53;5,2;04:49:55.2000000;4,83;00:08:25.6000000;0,14;00:21:57.8000000;0,37;6;00:00:42.7000000;0,01;00:00:46;0,01;85;93;95,2;96,1;6,7;4,5;3,7;367,8;367,8;84,2;1,4;1
1;Open1;04.5.2017 09:38;04.5.2017 09:43;3156;3156;Sprosseclips 16341 Hon-Del Vit;210O304-1;;0;0;0;0;00:04:36.7000000;0,08;00:04:36.7000000;0,08;00:00:00;0;00:04:36.7000000;0,08;00:04:36.7000000;0,08;1;00:00:00;0;00:00:00;0;0;0;100;100;100;0;0;11,1;11,1;0;0;1
2;Open1;04.5.2017 09:49;04.5.2017 10:33;3156;3156;Sprosseclips 16341 Hon-Del Vit;210O304-1;;3;0;3;0;00:43:58.4000000;0,73;00:43:58.4000000;0,73;00:00:00;0;00:43:58.4000000;0,73;00:43:58.4000000;0,73;1;00:00:00;0;00:14:39.5000000;0,24;0;0;100;100;100;0;0;105,5;105,5;0;0;1
3;Open1;04.5.2017 10:44;04.5.2017 11:02;3156;3156;Sprosseclips 16341 Hon-Del Vit;210O304-1;;0;0;0;0;00:18:14.2000000;0,3;00:18:14.2000000;0,3;00:00:00;0;00:18:14.2000000;0,3;00:18:14.2000000;0,3;1;00:00:00;0;00:00:00;0;0;0;100;100;100;0;0;43,8;43,8;0;0;1
4;Open1;04.5.2017 11:06;05.5.2017 14:25;3156;3156;Sprosseclips 16341 Hon-Del Vit;210O304-1;;30208;0;30208;0;1.03:18:21.3000000;27,31;22:09:46.9000000;22,16;21:43:34.9000000;21,73;00:03:40.1000000;0,06;00:26:12;0,44;3;00:00:02.6000000;0;00:00:02.6000000;0;98;98;100;100;2;0;0;24549,8;24549,8;1390,4;23,2;1
5;07 - After-Dryer;27.4.2017 20:21;28.4.2017 14:04;3198-23;3198-23;Bromsplatta 191-P0060-01;295G101;;1707;0;1707;0;17:42:24.8000000;17,71;17:41:52.1000000;17,7;17:18:43.7000000;17,31;00:06:12.3000000;0,1;00:23:08.4000000;0,39;6;00:00:36.5000000;0,01;00:00:37.3000000;0,01;97,8;97,8;100;100;2,2;0;0;1388,8;1388,8;98,6;1,6;1
6;Open4;30.4.2017 08:49;30.4.2017 08:58;3286-1;3286-1;Axeltapp Stor;272N401;;8;0;8;0;00:09:05.6000000;0,15;00:09:05.6000000;0,15;00:00:00;0;00:09:05.6000000;0,15;00:09:05.6000000;0,15;2;00:00:00;0;00:01:08.2000000;0,02;0;0;100;100;100;0;0;12,1;12,1;0;0;1
7;Open4;30.4.2017 09:20;04.5.2017 11:47;3286-1;3286-1;Axeltapp Stor;272N401;;532;0;532;0;4.02:27:26.7000000;98,46;1.04:42:26.7000000;28,71;04:57:08.1000000;4,95;00:11:44.6000000;0,2;23:45:18.7000000;23,76;11;00:00:33.5000000;0,01;00:03:14.3000000;0,05;17,3;17,3;100;100;82,7;0;0;2296,6;2296,6;107,4;1,8;3
8;Open4;30.4.2017 08:49;30.4.2017 08:58;3286-2;3286-2;Axeltapp Liten;272N402;;8;0;8;0;00:09:02.7000000;0,15;00:09:02.7000000;0,15;00:00:00;0;00:09:01.1000000;0,15;00:09:02.7000000;0,15;2;00:00:00;0;00:01:07.8000000;0,02;0;0;100;100;100;0;0;12;12;0;0;1
9;Open4;30.4.2017 09:20;04.5.2017 11:47;3286-2;3286-2;Axeltapp Liten;272N402;;532;0;532;0;4.02:27:33.9000000;98,46;1.04:42:33.9000000;28,71;04:57:08.1000000;4,95;00:11:46.2000000;0,2;23:45:25.9000000;23,76;13;00:00:33.5000000;0,01;00:03:14.3000000;0,05;17,2;17,2;100;100;82,8;0;0;2296,7;2296,7;107,4;1,8;3
10;Open5;28.4.2017 12:17;29.4.2017 06:02;3588-5;3588-5;Slutbleck 16873;210N405;;10424;440;9984;0;17:45:21.5000000;17,76;11:45:21.5000000;11,76;09:22:56.1000000;9,38;00:04:35.2000000;0,08;02:22:25.5000000;2,37;31;00:00:03.2000000;0;00:00:04.1000000;0;75,5;79,8;98,8;95,8;19,3;1,2;4;10580,4;10580,4;1111;18,5;1
11;Open1;29.4.2017 14:35;30.4.2017 08:34;3616;3616;Lock Patronh 110SL Gr? 6036220 RFID;237S906B-100;;292;0;292;0;17:58:39.5000000;17,98;11:58:39.5000000;11,98;07:44:08.9000000;7,74;00:27:48.7000000;0,46;04:14:30.6000000;4,24;13;00:01:35.4000000;0,03;00:02:27.7000000;0,04;13,5;64,6;21;100;26,8;59,7;0;1724,8;1724,8;37,7;0,6;3
